Repository,Default Branch,Effort,Focus,Impact,Lane,Last Reviewed,Notes,Owner,Portfolio Score,Repo URL,Status,Urgency,Visibility
keenpaul29/gaming-room,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/gaming-room,Not started,,Public
keenpaul29/projects_doc,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/projects_doc,Not started,,Public
keenpaul29/signin-website,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/signin-website,Not started,,Public
keenpaul29/profile-card,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/profile-card,Not started,,Public
keenpaul29/Hacktoberfest2022,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/Hacktoberfest2022,Not started,,Public
keenpaul29/todo-list,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/todo-list,Not started,,Public
keenpaul29/cmake_template,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/cmake_template,Not started,,Public
keenpaul29/MausamApp,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/MausamApp,Not started,,Public
keenpaul29/HacktoberFest,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/HacktoberFest,Not started,,Public
keenpaul29/Algorithms,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/Algorithms,Not started,,Public
keenpaul29/mycodeschool,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/mycodeschool,Not started,,Private
keenpaul29/google-clone,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/google-clone,Not started,,Public
keenpaul29/Responsive-Web,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/Responsive-Web,Not started,,Public
keenpaul29/pipedream,master,,Watch,,Reference Reading,,,keenpaul29,2.3,https://github.com/keenpaul29/pipedream,Not started,,Public
keenpaul29/docs,main,,Watch,,Reference Reading,,,keenpaul29,2.3,https://github.com/keenpaul29/docs,Not started,,Public
keenpaul29/Web-Dev-For-Beginners,main,,Watch,,Reference Reading,,,keenpaul29,2.3,https://github.com/keenpaul29/Web-Dev-For-Beginners,Not started,,Public
keenpaul29/devfest-new-delhi-2023-cfp-gxnsek,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/devfest-new-delhi-2023-cfp-gxnsek,Not started,,Public
keenpaul29/freeCodeCamp,main,,Watch,,Reference Reading,,,keenpaul29,2.3,https://github.com/keenpaul29/freeCodeCamp,Not started,,Public
keenpaul29/using-github-actions-for-ci,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/using-github-actions-for-ci,Not started,,Public
keenpaul29/My-CS50-project,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/My-CS50-project,Not started,,Private
keenpaul29/skillup,master,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/skillup,Not started,,Public
keenpaul29/full-stack-open,main,,Watch,,Reference Reading,,,keenpaul29,2.3,https://github.com/keenpaul29/full-stack-open,Not started,,Public
keenpaul29/mememates,master,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/mememates,Not started,,Public
keenpaul29/social-mimic-gen,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/social-mimic-gen,Not started,,Private
keenpaul29/expense-tracker,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/expense-tracker,Not started,,Public
keenpaul29/MERNHotelBooking,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/MERNHotelBooking,Not started,,Public
keenpaul29/jacks-clone,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/jacks-clone,Not started,,Private
keenpaul29/budget-optimizer-pro,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/budget-optimizer-pro,Not started,,Private
keenpaul29/BugSense,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/BugSense,Not started,,Public
keenpaul29/cryptoX,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/cryptoX,Not started,,Public
keenpaul29/keenpaul29,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/keenpaul29,Not started,,Public
keenpaul29/LearnFlow,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/LearnFlow,Not started,,Private
keenpaul29/shopkaro,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/shopkaro,Not started,,Public
keenpaul29/poidh-ai-bounty,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/poidh-ai-bounty,Not started,,Public
keenpaul29/mern-booking-app,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/mern-booking-app,Not started,,Public
keenpaul29/js-hindi-youtube,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/js-hindi-youtube,Not started,,Public
keenpaul29/LearnFlow-main,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/LearnFlow-main,Not started,,Public
keenpaul29/secure-chat,master,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/secure-chat,Not started,,Private
keenpaul29/memegen,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/memegen,Not started,,Public
keenpaul29/commentify,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/commentify,Not started,,Public
keenpaul29/writeitupx,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/writeitupx,Not started,,Public
keenpaul29/Skillup-v1,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/Skillup-v1,Not started,,Public
keenpaul29/aura,master,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/aura,Not started,,Public
keenpaul29/codescope-ai,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/codescope-ai,Not started,,Public
keenpaul29/moodify,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/moodify,Not started,,Private
keenpaul29/EuphonicAI,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/EuphonicAI,Not started,,Public
keenpaul29/todo-list-main,master,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/todo-list-main,Not started,,Public
keenpaul29/http://api.consumet.org,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/api.consumet.org,Not started,,Public
keenpaul29/yoforexbackend,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/yoforexbackend,Not started,,Public
keenpaul29/frontend_task,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/frontend_task,Not started,,Private
keenpaul29/42-cent,master,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/42-cent,Not started,,Public
keenpaul29/midas,flow,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/midas,Not started,,Public
keenpaul29/orcagpt,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/orcagpt,Not started,,Private
keenpaul29/portfolio,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/portfolio,Not started,,Public
keenpaul29/devika,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/devika,Not started,,Public
keenpaul29/mobile-magic,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/mobile-magic,Not started,,Public
keenpaul29/base-react-native-expo,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/base-react-native-expo,Not started,,Public
keenpaul29/anisee-api,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/anisee-api,Not started,,Private
keenpaul29/bot-clone,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/bot-clone,Not started,,Public
keenpaul29/Skillup-Final,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/Skillup-Final,Not started,,Public
keenpaul29/chess,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/chess,Not started,,Public
keenpaul29/iNotebook-React,master,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/iNotebook-React,Not started,,Public
keenpaul29/dailyCommits,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/dailyCommits,Not started,,Private
keenpaul29/yoforex-ai,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/yoforex-ai,Not started,,Private
keenpaul29/awesome-stars,master,,Watch,,Reference Reading,,,keenpaul29,2.3,https://github.com/keenpaul29/awesome-stars,Not started,,Public
keenpaul29/Unify,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/Unify,Not started,,Public
keenpaul29/CannerAI,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/CannerAI,Not started,,Public
keenpaul29/vaaktra,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/vaaktra,Not started,,Public
keenpaul29/vedic,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/vedic,Not started,,Public
keenpaul29/readme-typing-svg,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/readme-typing-svg,Not started,,Public
keenpaul29/smart-factory,master,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/smart-factory,Not started,,Private
keenpaul29/HRM,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/HRM,Not started,,Public
keenpaul29/didit-verification,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/didit-verification,Not started,,Public
keenpaul29/hacktoberfest-anmol,master,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/hacktoberfest-anmol,Not started,,Public
keenpaul29/cms,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/cms,Not started,,Public
keenpaul29/bonus-f150page,main,,Core,,Projects,,,keenpaul29,4.7,https://github.com/keenpaul29/bonus-f150page,Not started,,Private
keenpaul29/wwallbot-frontend,main,,Active,,Contributions & Issue Fixing,,,keenpaul29,3.85,https://github.com/keenpaul29/wwallbot-frontend,Not started,,Public
